alpha,gamma,epsilon_decay,success_rate,avg_reward,episodes_trained,elapsed_seconds
0.01,0.9,0.99,0.0,0.0,3000,0.6929342746734619
0.01,0.9,0.995,0.064,0.064,3000,0.343386173248291
0.01,0.9,0.999,0.068,0.068,3000,0.3435952663421631
0.01,0.99,0.99,0.068,0.068,3000,0.4305765628814697
0.01,0.99,0.995,0.102,0.102,3000,0.47990894317626953
0.01,0.99,0.999,0.046,0.046,3000,0.2752213478088379
0.01,0.999,0.99,0.0,0.0,3000,0.6641106605529785
0.01,0.999,0.995,0.126,0.126,3000,0.574737548828125
0.01,0.999,0.999,0.094,0.094,3000,0.3685119152069092
0.1,0.9,0.99,0.0,0.0,3000,0.6719210147857666
0.1,0.9,0.995,0.33,0.33,3000,0.6612894535064697
0.1,0.9,0.999,0.644,0.644,3000,0.7894449234008789
0.1,0.99,0.99,0.0,0.0,3000,0.6587367057800293
0.1,0.99,0.995,0.0,0.0,3000,0.667292594909668
0.1,0.99,0.999,0.738,0.738,3000,0.9764974117279053
0.1,0.999,0.99,0.0,0.0,3000,0.665278434753418
0.1,0.999,0.995,0.332,0.332,3000,1.8555235862731934
0.1,0.999,0.999,0.734,0.734,3000,0.972740650177002
0.5,0.9,0.99,0.0,0.0,3000,0.7244739532470703
0.5,0.9,0.995,0.094,0.094,3000,1.0745279788970947
0.5,0.9,0.999,0.64,0.64,3000,0.902616024017334
0.5,0.99,0.99,0.726,0.726,3000,2.0591320991516113
0.5,0.99,0.995,0.0,0.0,3000,0.880260705947876
0.5,0.99,0.999,0.624,0.624,3000,1.0884160995483398
0.5,0.999,0.99,0.0,0.0,3000,0.8628294467926025
0.5,0.999,0.995,0.0,0.0,3000,2.7299716472625732
0.5,0.999,0.999,0.0,0.0,3000,1.6722147464752197
